DATE,DCOILBRENTEU
1993-01-01,18.2361290322580645
1993-04-01,18.2540983606557377
1993-07-01,16.4913846153846154
1993-10-01,15.1765625000000000
1994-01-01,13.9649206349206349
1994-04-01,16.0975409836065574
1994-07-01,16.7833846153846154
1994-10-01,16.5579365079365079
1995-01-01,16.8910937500000000
1995-04-01,18.0688709677419355
1995-07-01,16.2148437500000000
1995-10-01,16.9200000000000000
1996-01-01,18.5568750000000000
1996-04-01,19.4981967213114754
1996-07-01,20.8635384615384615
1996-10-01,23.5835937500000000
1997-01-01,21.2185000000000000
1997-04-01,18.0451562500000000
1997-07-01,18.5062295081967213
1997-10-01,18.7623809523809524
1998-01-01,14.1044444444444444
1998-04-01,13.3109836065573770
1998-07-01,12.4564615384615385
1998-10-01,11.2121875000000000
1999-01-01,11.3743548387096774
1999-04-01,15.4780327868852459
1999-07-01,20.6442187500000000
1999-10-01,23.9820967741935484
2000-01-01,26.9639062500000000
2000-04-01,27.0122950819672131
2000-07-01,30.6596923076923077
2000-10-01,29.9179365079365079
2001-01-01,25.8242187500000000
2001-04-01,27.2895312500000000
2001-07-01,25.3004615384615385
2001-10-01,19.3954687500000000
2002-01-01,21.1160317460317460
2002-04-01,25.1145161290322581
2002-07-01,26.8886363636363636
2002-10-01,26.7378125000000000
2003-01-01,31.4971428571428571
2003-04-01,26.1703076923076923
2003-07-01,28.4263636363636364
2003-10-01,29.4059375000000000
2004-01-01,31.9946875000000000
2004-04-01,35.4147692307692308
2004-07-01,41.3874242424242424
2004-10-01,44.0089393939393939
2005-01-01,47.8706451612903226
2005-04-01,51.6240000000000000
2005-07-01,61.5684848484848485
2005-10-01,56.8531250000000000
2006-01-01,61.7871875000000000
2006-04-01,69.4885714285714286
2006-07-01,69.7321538461538462
2006-10-01,59.5476190476190476
2007-01-01,57.8383870967741935
2007-04-01,68.5945161290322581
2007-07-01,74.7511111111111111
2007-10-01,88.2877777777777778
2008-01-01,96.8554098360655738
2008-04-01,121.2043750000000000
2008-07-01,114.6850000000000000
2008-10-01,55.0284375000000000
2009-01-01,44.5221311475409836
2009-04-01,58.8774603174603175
2009-07-01,68.1379687500000000
2009-10-01,74.5657812500000000
2010-01-01,76.4180327868852459
2010-04-01,78.4892063492063492
2010-07-01,76.8234375000000000
2010-10-01,86.5400000000000000
2011-01-01,105.4496774193548387
2011-04-01,117.0124590163934426
2011-07-01,113.2350793650793651
2011-10-01,109.4208064516129032
2012-01-01,118.7106451612903226
2012-04-01,107.7498333333333333
2012-07-01,109.6284126984126984
2012-10-01,110.1478125000000000
2013-01-01,112.4433333333333333
2013-04-01,102.5646875000000000
2013-07-01,110.2285937500000000
2013-10-01,109.2264062500000000
2014-01-01,108.1419354838709677
2014-04-01,109.6940625000000000
2014-07-01,101.8998437500000000
2014-10-01,76.4292187500000000
2015-01-01,53.9770967741935484
2015-04-01,61.6511111111111111
2015-07-01,50.4449230769230769
2015-10-01,43.5569230769230769
2016-01-01,33.8427419354838710
2016-04-01,45.5668750000000000
2016-07-01,45.8010606060606061
2016-10-01,49.0522222222222222
2017-01-01,53.5945312500000000
2017-04-01,49.5540625000000000
2017-07-01,52.0993846153846154
2017-10-01,61.3965079365079365
2018-01-01,66.8634920634920635
2018-04-01,74.5338709677419355
2018-07-01,75.0701538461538462
2018-10-01,68.7638709677419355
2019-01-01,63.0973015873015873
2019-04-01,69.0365079365079365
2019-07-01,61.9457575757575758
2019-10-01,63.2678461538461538
2020-01-01,50.2748437500000000
2020-04-01,29.6990163934426230
2020-07-01,42.9123076923076923
2020-10-01,44.3164615384615385
2021-01-01,61.0387301587301587
2021-04-01,68.9818032786885246
2021-07-01,73.5090769230769231
2021-10-01,79.6090625000000000
2022-01-01,100.8723437500000000
2022-04-01,113.8352459016393443
2022-07-01,100.7081250000000000
2022-10-01,88.7236507936507937
